Location,State,Region
AGARTALA,TRIPURA,NORTH EAST INDIA
AGRA,UTTAR PRADESH,NORTH INDIA
AHMEDABAD,GUJARAT,WEST INDIA
AIZWAL,MIZORAM,EAST INDIA
AJMER,RAJASTHAN,WEST INDIA
ALLAHABAD,UTTAR PRADESH,NORTH INDIA
ALLEPPEY,KERALA,SOUTH INDIA
ALIBAUG,MAHARASHTRA,WEST INDIA
ALMORA,UTTARANCHAL,NORTH INDIA
ALSISAR,RAJASTHAN,WEST INDIA
ALWAR,RAJASTHAN,WEST INDIA
AMBALA,HARYANA,NORTH INDIA
AMLA,MADHYA PRADESH,CENTRAL INDIA
AMRITSAR,PUNJAB,NORTH INDIA
ANAND,GUJARAT,WEST INDIA
ANKLESHWAR,GUJARAT,WEST INDIA
ASHTAMUDI,KERALA,SOUTH INDIA
AULI,HIMACHAL PRADESH,NORTH INDIA
AURANGABAD,MAHARASHTRA,WEST INDIA
BADDI,HIMACHAL PRADESH,NORTH INDIA
BADRINATH,UTTARANCHAL,NORTH INDIA
BALASINOR,GUJARAT,WEST INDIA
BALRAMPUR,UTTAR PRADESH,NORTH INDIA
BAMBORA,RAJASTHAN,WEST INDIA
BANDHAVGARH,MADHYA PRADESH,CENTRAL INDIA
BANDIPUR,KARNATAKA,SOUTH INDIA
BANGALORE,KARNATAKA,SOUTH INDIA
BARBIL,ORISSA,EAST INDIA
BAREILLY,UTTAR PRADESH,NORTH INDIA
BEHROR,RAJASTHAN,WEST INDIA
BELGAUM,KARNATAKA,SOUTH INDIA
BERHAMPUR,ORISSA,EAST INDIA
BETALGHAT,UTTARANCHAL,NORTH INDIA
BHARATPUR,RAJASTHAN,WEST INDIA
BHANDARDARA,MAHARASHTRA,WEST INDIA
BHARUCH,GUJARAT,WEST INDIA
BHAVANGADH,GUJARAT,WEST INDIA
BHAVNAGAR,GUJARAT,WEST INDIA
BHILAI,CHHATTISGARH,EAST INDIA
BHIMTAL,UTTARANCHAL,NORTH INDIA
BHOPAL,MADHYA PRADESH,CENTRAL INDIA
BHUBANESHWAR,ORISSA,EAST INDIA
BHUJ,GUJARAT,WEST INDIA
BIKANER,RAJASTHAN,WEST INDIA
BINSAR,UTTARANCHAL,NORTH INDIA
BODHGAYA,BIHAR,EAST INDIA
BUNDI,RAJASTHAN,WEST INDIA
CALICUT,KERALA,SOUTH INDIA
CANANNORE,KERALA,SOUTH INDIA
CHAIL,HIMACHAL PRADESH,NORTH INDIA
CHAMBA,UTTARANCHAL,NORTH INDIA
CHANDIGARH,PUNJAB,NORTH INDIA
CHENNAI,TAMIL NADU,SOUTH INDIA
CHIKMAGALUR,KARNATAKA,SOUTH INDIA
CHIPLUN,MAHARASHTRA,WEST INDIA
CHITRAKOOT,MADHYA PRADESH,CENTRAL INDIA
CHITTORGARH,RAJASTHAN,WEST INDIA
COIMBATORE,TAMIL NADU,SOUTH INDIA
COONOOR,TAMIL NADU,SOUTH INDIA
COORG,KARNATAKA,SOUTH INDIA
CORBETT NATIONAL PARK,UTTARANCHAL,NORTH INDIA
CUTTACK,ORISSA,EAST INDIA
DABHOSA,MAHARASHTRA,WEST INDIA
DALHOUSIE,HIMACHAL PRADESH,NORTH INDIA
DAMAN,UNION TERRITORY of DADRA & NAGAR HAVELI,WEST INDIA
DANDELI,KARNATAKA,SOUTH INDIA
DAPOLI,MAHARASHTRA,WEST INDIA
DARJEELING,WEST BENGAL,EAST INDIA
DAUSA,RAJASTHAN,WEST INDIA
DEHRADUN,UTTAR PRADESH,NORTH INDIA
DHARAMSHALA,HIMACHAL PRADESH,NORTH INDIA
DIBRUGARH,ASSAM,EAST INDIA
DIGHA,WEST BENGAL,EAST INDIA
DIU,UNION TERRITORY OF DADRA & NAGAR HAVELI,WEST INDIA
DIVE AGAR,MAHARASHTRA,WEST INDIA
DOOARS,WEST BENGAL,EAST INDIA
DURGAPUR,WEST BENGAL,EAST INDIA
DURSHET,MAHARASHTRA,WEST INDIA
DWARKA,GUJARAT,WEST INDIA
FARIDABAD,HARYANA,NORTH INDIA
FIROZABAD,UTTAR PRADESH,NORTH INDIA
GANGOTRI,UTTARANCHAL,NORTH INDIA
GANGTOK,SIKKIM,EAST INDIA
GANAPATIPULE,MAHARASHTRA,WEST INDIA
GANDHIDHAM,GUJARAT,WEST INDIA
GANDHINAGAR,GUJARAT,WEST INDIA
GARHMUKTESHWAR,UTTAR PRADESH,NORTH INDIA
GARHWAL,UTTARANCHAL,NORTH INDIA
GAYA,BIHAR,EAST INDIA
GHAZIABAD,NEW DELHI,NORTH INDIA
GOA,GOA,WEST INDIA
GOKHARNA,KERALA,SOUTH INDIA
GONDAL,GUJARAT,WEST INDIA
GORAKHPUR,UTTAR PRADESH,EAST INDIA
GREATER NOIDA,NCR,NORTH INDIA
GULMARG,JAMMU & KASHMIR,NORTH INDIA
GURGAON,HARYANA,NORTH INDIA
GURUVAYOOR,KERALA,SOUTH INDIA
GUWAHATI,ASSAM,EAST INDIA
GWALIOR,MADHYA PRADESH,CENTRAL INDIA
HALEBID,KARNATAKA,SOUTH INDIA
HAMPI,KARNATAKA,SOUTH INDIA
HANSI,HARYANA,NORTH INDIA
HARIDWAR,UTTAR PRADESH,NORTH INDIA
HASSAN,KARNATAKA,SOUTH INDIA
HOSPET,KARNATAKA,SOUTH INDIA
HOSUR,TAMIL NADU,SOUTH INDIA
HUBLI,KARNATAKA,SOUTH INDIA
HYDERABAD,ANDHRA PRADESH,SOUTH INDIA
IDUKKI,KERALA,SOUTH INDIA
IGATPURI,MAHARASHTRA,WEST INDIA
IMPHAL,MANIPUR,EAST INDIA
INDORE,MADHYA PRADESH,CENTRAL INDIA
JABALPUR,Madhya Pradesh,CENTRAL INDIA
JAIPUR,RAJASTHAN,WEST INDIA
JAISALMER,RAJASTHAN,WEST INDIA
JALANDHAR,PUNJAB,NORTH INDIA
JALGAON,MAHARASHTRA,WEST INDIA
JAMBUGODHA,GUJARAT,WEST INDIA
JAMMU,JAMMU & KASHMIR,NORTH INDIA
JAMNAGAR,GUJARAT,WEST INDIA
JAMSHEDPUR,JHARKHAND,EAST INDIA
JAWHAR,MAHARASHTRA,WEST INDIA
JHANSI,UTTAR PRADESH,NORTH INDIA
JODHPUR,RAJASTHAN,WEST INDIA
JOJAWAR,RAJASTHAN,WEST INDIA
JORHAT,ASSAM,EAST INDIA
JUNAGADH,GUJARAT,WEST INDIA
KABINI,KARNATAKA,SOUTH INDIA
KALIMPONG,WEST BENGAL,EAST INDIA
KANATAL,UTTARANCHAL,NORTH INDIA
KANCHIPURAM,TAMIL NADU,SOUTH INDIA
KANHA,MADHYA PRADESH,CENTRAL INDIA
KANPUR,UTTAR PRADESH,EAST INDIA
KANYAKUMARI,TAMIL NADU,SOUTH INDIA
KARGIL,JAMMU & KASHMIR,NORTH INDIA
KARJAT,MAHARASHTRA,WEST INDIA
KARNAL,HARYANA,NORTH INDIA
KARUR,TAMIL NADU,SOUTH INDIA
KARWAR,KARNATAKA,SOUTH INDIA
KASARGOD,KERALA,SOUTH INDIA
KASAULI,HIMACHAL PRADESH,NORTH INDIA
KASHIPUR,UTTARANCHAL,NORTH INDIA
KASHID,MAHARASHTRA,WEST INDIA
